,Company,TypeName,Inches,Ram,OpSys,Weight,Price,Resolution_Width,Resolution_Height,CPU Brand,CPU Series,CPU Frequency,Storage Capacity,Storage Type,Gpu_Brand,Gpu_Model
0,Apple,Ultrabook,13.3,8,macOS,1.37,71378.6832,2560.0,1600.0,Intel,Core i5,2.3,128,SSD,Intel,Iris Plus Graphics 640
1,Apple,Ultrabook,13.3,8,macOS,1.34,47895.5232,1440.0,900.0,Intel,Core i5,1.8,128,Flash Storage,Intel,HD Graphics 6000
2,HP,Notebook,15.6,8,No OS,1.86,30636.0,1920.0,1080.0,Intel,Core i5 7200U,2.5,256,SSD,Intel,HD Graphics 620
3,Apple,Ultrabook,15.4,16,macOS,1.83,135195.33599999998,2880.0,1800.0,Intel,Core i7,2.7,512,SSD,AMD,Radeon Pro 455
4,Apple,Ultrabook,13.3,8,macOS,1.37,96095.808,2560.0,1600.0,Intel,Core i5,3.1,256,SSD,Intel,Iris Plus Graphics 650
5,Acer,Notebook,15.6,4,Windows 10,2.1,21312.0,1366.0,768.0,AMD,A9-Series 9420,3,500,HDD,AMD,Radeon R5
6,Apple,Ultrabook,15.4,16,Mac OS X,2.04,114017.6016,2880.0,1800.0,Intel,Core i7,2.2,256,Flash Storage,Intel,Iris Pro Graphics
7,Apple,Ultrabook,13.3,8,macOS,1.34,61735.536,1440.0,900.0,Intel,Core i5,1.8,256,Flash Storage,Intel,HD Graphics 6000
8,Asus,Ultrabook,14.0,16,Windows 10,1.3,79653.59999999999,1920.0,1080.0,Intel,Core i7 8550U,1.8,512,SSD,Nvidia,GeForce MX150
9,Acer,Ultrabook,14.0,8,Windows 10,1.6,41025.6,1920.0,1080.0,Intel,Core i5 8250U,1.6,256,SSD,Intel,UHD Graphics 620
10,HP,Notebook,15.6,4,No OS,1.86,20986.992,1366.0,768.0,Intel,Core i5 7200U,2.5,500,HDD,Intel,HD Graphics 620
11,HP,Notebook,15.6,4,No OS,1.86,18381.0672,1920.0,1080.0,Intel,Core i3 6006U,2,500,HDD,Intel,HD Graphics 520
12,Apple,Ultrabook,15.4,16,macOS,1.83,130001.6016,2880.0,1800.0,Intel,Core i7,2.8,256,SSD,AMD,Radeon Pro 555
13,Dell,Notebook,15.6,4,Windows 10,2.2,26581.392,1920.0,1080.0,Intel,Core i3 6006U,2,256,SSD,AMD,Radeon R5 M430
14,Apple,Ultrabook,12.0,8,macOS,0.92,67260.672,2304.0,1440.0,Intel,Core M m3,1.2,256,SSD,Intel,HD Graphics 615
15,Apple,Ultrabook,13.3,8,macOS,1.37,80908.344,2560.0,1600.0,Intel,Core i5,2.3,256,SSD,Intel,Iris Plus Graphics 640
16,Dell,Notebook,15.6,8,Windows 10,2.2,39693.6,1920.0,1080.0,Intel,Core i7 7500U,2.7,256,SSD,AMD,Radeon R5 M430
17,Apple,Ultrabook,15.4,16,macOS,1.83,152274.24,2880.0,1800.0,Intel,Core i7,2.9,512,SSD,AMD,Radeon Pro 560
18,Lenovo,Notebook,15.6,8,No OS,2.2,26586.72,1920.0,1080.0,Intel,Core i3 7100U,2.4,1000,HDD,Nvidia,GeForce 940MX
19,Dell,Ultrabook,13.3,8,Windows 10,1.22,52161.12,1920.0,1080.0,Intel,Core i5 8250U,1.6,128,SSD,Intel,UHD Graphics 620
20,Asus,Netbook,11.6,2,Windows 10,0.98,10224.432,1366.0,768.0,Intel,Atom x5-Z8350,1.44,32,Flash Storage,Intel,HD Graphics 400
21,Lenovo,Gaming,15.6,8,Windows 10,2.5,53226.72,1920.0,1080.0,Intel,Core i5 7300HQ,2.5,1128,Hybrid,Nvidia,GeForce GTX 1050
22,HP,Notebook,15.6,4,No OS,1.86,13746.24,1366.0,768.0,AMD,E-Series E2-9000e,1.5,500,HDD,AMD,Radeon R2
23,Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,43636.32,1920.0,1080.0,Intel,Core i5 8250U,1.6,256,SSD,Intel,UHD Graphics 620
24,HP,Ultrabook,15.6,8,Windows 10,1.91,35111.52,1920.0,1080.0,Intel,Core i7 8550U,1.8,256,SSD,Intel,HD Graphics 620
25,Dell,Notebook,15.6,4,Windows 10,2.3,22305.1392,1366.0,768.0,Intel,Core i3 6006U,2,1000,HDD,Intel,HD Graphics 520
26,Apple,Ultrabook,13.3,8,Mac OS X,1.35,58554.72,1440.0,900.0,Intel,Core i5,1.6,128,Flash Storage,Intel,HD Graphics 6000
27,Dell,Notebook,15.6,8,Windows 10,2.2,42624.0,1920.0,1080.0,Intel,Core i5 8250U,1.6,256,SSD,AMD,Radeon 530
28,Dell,Ultrabook,15.6,8,Windows 10,1.88,69157.44,1920.0,1080.0,Intel,Core i7 8650U,1.9,512,SSD,Intel,UHD Graphics 620
29,HP,Notebook,17.3,8,Windows 10,2.5,47738.88,1920.0,1080.0,Intel,Core i5 8250U,1.6,1000,HDD,Nvidia,GeForce 930MX
30,Chuwi,Notebook,15.6,4,Windows 10,1.89,13053.0672,1920.0,1080.0,Intel,Atom x5-Z8300,1.44,64,Flash Storage,Intel,HD Graphics
31,Asus,Notebook,14.0,2,Windows 10,1.65,10602.72,1366.0,768.0,AMD,E-Series E2-6110,1.5,32,Flash Storage,AMD,Radeon R2
32,HP,Notebook,17.3,4,Windows 10,2.71,23389.92,1920.0,1080.0,AMD,A6-Series 9220,2.5,500,HDD,AMD,Radeon 530
33,Dell,Ultrabook,13.3,16,Windows 10,1.2,99580.32,3200.0,1800.0,Intel,Core i7 8550U,1.8,512,SSD,Intel,UHD Graphics 620
34,Apple,Ultrabook,13.3,8,Mac OS X,1.35,53173.44,1440.0,900.0,Intel,Core i5,1.6,256,Flash Storage,Intel,HD Graphics 6000
35,Lenovo,Notebook,14.0,4,Windows 10,1.44,13266.72,1366.0,768.0,Intel,Celeron Dual Core N3350,1.1,64,Flash Storage,Intel,HD Graphics 500
36,Acer,Notebook,15.6,4,Linux,2.1,19553.76,1366.0,768.0,Intel,Core i3 7130U,2.7,1000,HDD,Intel,HD Graphics 620
37,Dell,Notebook,17.3,8,Windows 10,2.8,52161.12,1920.0,1080.0,Intel,Core i5 8250U,1.6,1128,Hybrid,AMD,Radeon 530
38,HP,Notebook,15.6,4,Windows 10,1.86,26037.4032,1366.0,768.0,Intel,Core i5 7200U,2.5,1000,HDD,Intel,HD Graphics 620
39,HP,Notebook,15.6,8,Windows 10,2.1,46833.12,1920.0,1080.0,Intel,Core i5 8250U,1.6,256,SSD,Nvidia,GeForce 930MX 
40,Asus,Notebook,15.6,4,Linux,2.0,20725.92,1920.0,1080.0,Intel,Core i3 6006U,2,1000,HDD,Intel,HD Graphics 620
41,Dell,Gaming,15.6,16,Windows 10,2.65,79866.72,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,1256,Hybrid,Nvidia,GeForce GTX 1060
42,Asus,Notebook,15.6,8,Linux,2.3,27864.9072,1366.0,768.0,Intel,Core i5 7200U,2.5,1000,HDD,Nvidia,GeForce 940MX
43,Acer,Notebook,15.6,4,Windows 10,2.2,36336.96,1920.0,1080.0,Intel,Core i5 8250U,1.6,256,SSD,Intel,UHD Graphics 620
44,Dell,2 in 1 Convertible,17.3,12,Windows 10,2.77,53226.72,1920.0,1080.0,Intel,Core i5 8250U,1.6,1000,HDD,Nvidia,GeForce 150MX
45,Apple,Ultrabook,13.3,8,macOS,1.37,75604.31999999999,2560.0,1600.0,Intel,Core i5,2.0,256,SSD,Intel,Iris Graphics 540
46,Lenovo,Notebook,15.6,4,No OS,2.2,19660.32,1366.0,768.0,Intel,Core i3 6006U,2,128,SSD,Intel,HD Graphics 520
47,Asus,Gaming,17.3,8,Windows 10,3.2,69210.72,1920.0,1080.0,AMD,Ryzen 1700,3,1256,Hybrid,AMD,Radeon RX 580
48,Dell,Notebook,15.6,4,Windows 10,2.3,34045.92,1920.0,1080.0,Intel,Core i5 7200U,2.5,256,SSD,AMD,Radeon R5 M430
49,Asus,Notebook,17.3,4,Windows 10,2.8,24828.48,1366.0,768.0,Intel,Pentium Quad Core N4200,1.1,1000,HDD,Nvidia,GeForce 920MX
50,Lenovo,2 in 1 Convertible,10.1,4,Android,0.69,16996.32,1920.0,1200.0,Intel,Atom x5-Z8550,1.44,64,Flash Storage,Intel,HD Graphics 400
51,Acer,Notebook,15.6,8,Windows 10,2.2,44808.48,1920.0,1080.0,Intel,Core i7 8550U,1.8,256,SSD,Nvidia,GeForce MX150
52,HP,Notebook,15.6,4,Windows 10,1.86,21231.5472,1920.0,1080.0,AMD,A6-Series 9220,2.5,256,SSD,AMD,Radeon R4 Graphics
53,HP,Notebook,13.3,8,Windows 10,1.49,58767.84,1920.0,1080.0,Intel,Core i7 8550U,1.8,512,SSD,Intel,UHD Graphics 620
54,Acer,Notebook,15.6,4,Windows 10,2.4,20459.52,1366.0,768.0,Intel,Core i3 7100U,2.4,1000,HDD,Intel,HD Graphics 620
55,Dell,Notebook,15.6,8,Windows 10,2.13,40908.384,1920.0,1080.0,Intel,Core i7 8550U,1.8,256,SSD,AMD,Radeon 520
56,HP,Notebook,15.6,4,Windows 10,1.91,23389.92,1920.0,1080.0,Intel,Core i3 6006U,2,128,SSD,Intel,HD Graphics 520
